Date,^BVSP,^GSPC,^IXIC,^GDAXI,^DJI
2018-10-31,87424.0,2711.739990234375,7305.89990234375,11447.509765625,25115.759765625
2018-11-01,88419.0,2740.3701171875,7434.06005859375,11468.5400390625,25380.740234375
2018-11-05,89598.0,2738.31005859375,7328.85009765625,11494.9599609375,25461.69921875
2018-11-06,88669.0,2755.449951171875,7375.9599609375,11484.33984375,25635.009765625
2018-11-07,87714.0,2813.889892578125,7570.75,11579.099609375,26180.30078125
2018-11-08,85620.0,2806.830078125,7530.8798828125,11527.3203125,26191.220703125
2018-11-09,85641.0,2781.010009765625,7406.89990234375,11529.16015625,25989.30078125
2018-11-12,85525.0,2726.219970703125,7200.8701171875,11325.4404296875,25387.1796875
2018-11-13,84914.0,2722.179931640625,7200.8701171875,11472.2197265625,25286.490234375
2018-11-14,85973.0,2701.580078125,7136.39013671875,11412.5302734375,25080.5
2018-11-16,88515.0,2736.27001953125,7247.8701171875,11341.0,25413.220703125
2018-11-19,87901.0,2690.72998046875,7028.47998046875,11244.5400390625,25017.439453125
2018-11-21,87269.0,2649.929931640625,6972.25,11244.169921875,24464.689453125
2018-11-22,87477.0,,,11138.490234375,
2018-11-23,86230.0,2632.56005859375,6938.97998046875,11192.6904296875,24285.94921875
2018-11-26,85547.0,2673.449951171875,7081.85009765625,11354.7197265625,24640.240234375
2018-11-27,87891.0,2682.169921875,7082.7001953125,11309.1103515625,24748.73046875
2018-11-28,89251.0,2743.7900390625,7291.58984375,11298.8798828125,25366.4296875
2018-11-29,89710.0,2737.800048828125,7273.080078125,11298.23046875,25338.83984375
2018-11-30,89504.0,2760.169921875,7330.5400390625,11257.240234375,25538.4609375
2018-12-03,89820.0,2790.3701171875,7441.509765625,11465.4599609375,25826.4296875
2018-12-04,88624.0,2700.06005859375,7158.43017578125,11335.3203125,25027.0703125
2018-12-05,89040.0,,,11200.240234375,
2018-12-06,88846.0,2695.949951171875,7188.259765625,10810.98046875,24947.669921875
2018-12-07,88115.0,2633.080078125,6969.25,10788.08984375,24388.94921875
2018-12-10,85915.0,2637.719970703125,7020.52001953125,10622.0703125,24423.259765625
2018-12-11,86420.0,2636.780029296875,7031.830078125,10780.509765625,24370.240234375
2018-12-12,86977.0,2651.070068359375,7098.31005859375,10929.4296875,24527.26953125
2018-12-13,87838.0,2650.5400390625,7070.330078125,10924.7001953125,24597.380859375
2018-12-14,87450.0,2599.949951171875,6910.66015625,10865.76953125,24100.509765625
2018-12-17,86400.0,2545.93994140625,6753.72998046875,10772.2001953125,23592.98046875
2018-12-18,86610.0,2546.159912109375,6783.91015625,10740.8896484375,23675.640625
2018-12-19,85674.0,2506.9599609375,6636.830078125,10766.2099609375,23323.66015625
2018-12-20,85269.0,2467.419921875,6528.41015625,10611.099609375,22859.599609375
2018-12-21,85697.0,2416.6201171875,6332.990234375,10633.8203125,22445.369140625
2018-12-26,85136.0,2467.699951171875,6554.35986328125,,22878.44921875
2018-12-27,85460.0,2488.830078125,6579.490234375,10381.509765625,23138.8203125
2018-12-28,87887.0,2485.739990234375,6584.52001953125,10558.9599609375,23062.400390625
